 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
54.786000, 0, Obstacle 21 ,,,,,1.45,,,,1.45,-0.0,0.0,0.0,0.0,0.1 
78.622000, 0, Obstacle 73 ,,,,,1.5,,,,1.79,0.0,0.0,0.29,0.0,0.04 
82.625000, 0, Obstacle 18 ,,,,,1.5,,,,2.31,-0.0,0.0,0.81,0.0,0.04 
88.688000, 1, myObstacle 18,0.9,0.1,-0.04,0.91,0.71,2.42,0.1,0.0,2.31,-0.0,0.0,1.6,0.0,0.04 
89.025000, 1, myObstacle 18,0.9,0.1,-0.04,0.91,0.67,2.42,0.1,0.0,2.31,-0.0,0.0,1.64,0.0,0.04 
89.223000, 1, myObstacle 18,0.9,0.1,-0.04,0.91,0.64,2.42,0.1,0.0,2.31,-0.0,0.0,1.67,0.0,0.04 
93.472000, 0, Obstacle 59 ,,,,,1.5,,,,3.72,0.0,0.0,2.22,0.01,0.04 
96.785000, 0, Obstacle 19 ,,,,,1.5,,,,4.15,-0.0,0.0,2.65,0.01,0.04 
96.879000, 1, myObstacle 59,1.25,0.09,-0.04,1.25,1.06,3.84,0.1,0.0,3.72,0.0,0.0,2.66,0.01,0.04 
97.151000, 1, myObstacle 59,1.19,0.09,-0.04,1.25,1.02,3.83,0.1,0.0,3.72,0.0,0.0,2.7,0.01,0.04 
97.442000, 1, myObstacle 59,1.19,0.09,-0.04,1.19,0.99,3.84,0.1,0.0,3.72,0.0,0.0,2.73,0.01,0.04 
97.732000, 1, myObstacle 59,1.13,0.09,-0.04,1.19,0.95,3.83,0.1,0.0,3.72,0.0,0.0,2.77,0.01,0.04 
98.054000, 1, myObstacle 59,1.13,0.09,-0.04,1.13,0.9,3.84,0.1,0.0,3.72,0.0,0.0,2.82,0.01,0.04 
98.316000, 1, myObstacle 59,1.06,0.09,-0.04,1.06,0.87,3.83,0.1,0.0,3.72,0.0,0.0,2.85,0.01,0.04 
98.455000, 1, myObstacle 20,1.46,0.09,-0.03,1.47,6.73,4.25,0.1,0.0,9.6,0.0,0.0,2.87,0.01,0.04 
98.792000, 1, myObstacle 59,0.99,0.09,-0.04,1.0,0.81,3.83,0.1,0.0,3.72,0.0,0.0,2.91,0.01,0.04 
98.915000, 1, myObstacle 19,1.42,0.09,-0.04,1.42,1.22,4.27,0.1,0.0,4.15,-0.0,0.0,2.93,0.01,0.04 
99.056000, 1, myObstacle 20,1.4,0.09,-0.04,1.41,6.66,4.26,0.11,0.0,9.6,0.0,0.0,2.95,0.01,0.04 
99.338000, 1, myObstacle 59,0.94,0.09,-0.04,0.95,0.74,3.83,0.1,0.0,3.72,0.0,0.0,2.98,0.01,0.04 
99.450000, 1, myObstacle 19,1.42,0.09,-0.04,1.42,1.15,4.27,0.1,0.0,4.15,-0.0,0.0,3.0,0.01,0.04 
99.555000, 1, myObstacle 20,1.32,0.09,-0.04,1.32,6.59,4.26,0.1,0.0,9.6,0.0,0.0,3.01,0.01,0.04 
99.754000, 1, myObstacle 59,0.86,0.09,-0.04,0.87,0.68,3.84,0.1,0.0,3.72,0.0,0.0,3.04,0.01,0.04 
99.858000, 1, myObstacle 20,1.32,0.09,-0.04,1.32,6.55,4.27,0.1,0.0,9.6,0.0,0.0,3.05,0.01,0.04 
100.000000, 1, myObstacle 59,0.86,0.09,-0.04,0.87,0.65,3.83,0.1,0.0,3.72,0.0,0.0,3.07,0.01,0.04 
100.078000, 1, myObstacle 20,1.32,0.09,-0.04,1.32,6.52,4.27,0.1,0.0,9.6,0.0,0.0,3.08,0.01,0.04 
100.279000, 1, myObstacle 59,0.86,0.09,-0.04,0.87,0.62,3.83,0.1,0.0,3.72,0.0,0.0,3.1,0.01,0.04 
100.356000, 1, myObstacle 20,1.32,0.09,-0.04,1.32,6.49,4.27,0.1,0.0,9.6,0.0,0.0,3.11,0.01,0.04 
100.644000, 0, Obstacle 70 ,,,,,1.5,,,,4.65,0.0,0.0,3.15,0.01,0.04 
104.032000, 0, Obstacle 17 ,,,,,1.5,,,,5.09,-0.0,0.0,3.59,0.01,0.04 
107.601000, 1, myObstacle 70,1.04,0.12,-0.12,1.05,0.6,4.77,0.1,0.0,4.65,0.0,0.0,4.06,0.01,0.04 
107.895000, 1, myObstacle 70,1.04,0.12,-0.12,1.05,0.56,4.76,0.1,0.0,4.65,0.0,0.0,4.09,0.01,0.04 
108.217000, 1, myObstacle 70,0.7,0.09,-0.04,0.71,0.52,4.78,0.1,0.0,4.65,0.0,0.0,4.13,0.01,0.04 
108.484000, 1, myObstacle 70,0.7,0.09,-0.04,0.71,0.48,4.78,0.1,0.0,4.65,0.0,0.0,4.17,0.01,0.04 
108.756000, 1, myObstacle 70,0.7,0.09,-0.04,0.71,0.45,4.78,0.1,0.0,4.65,0.0,0.0,4.2,0.01,0.04 
108.844000, 1, myObstacle 17,1.09,0.09,-0.04,1.09,0.87,5.21,0.1,0.0,5.09,-0.0,0.0,4.22,0.01,0.04 
109.095000, 1, myObstacle 17,1.01,0.09,-0.04,1.02,0.84,5.2,0.1,0.0,5.09,-0.0,0.0,4.25,0.01,0.04 
109.314000, 1, myObstacle 17,1.01,0.09,-0.04,1.02,0.81,5.21,0.1,0.0,5.09,-0.0,0.0,4.28,0.01,0.04 
109.555000, 1, myObstacle 17,1.01,0.09,-0.04,1.02,0.78,5.21,0.1,0.0,5.09,-0.0,0.0,4.31,0.01,0.04 
109.771000, 1, myObstacle 17,0.94,0.09,-0.04,0.94,0.75,5.2,0.1,0.0,5.09,-0.0,0.0,4.34,0.01,0.04 
110.029000, 1, myObstacle 17,0.94,0.09,-0.04,0.94,0.72,5.2,0.1,0.0,5.09,-0.0,0.0,4.37,0.01,0.04 
110.302000, 1, myObstacle 17,0.85,0.09,-0.04,0.85,0.69,5.2,0.1,0.0,5.09,-0.0,0.0,4.41,0.01,0.04 
110.582000, 1, myObstacle 17,0.85,0.09,-0.04,0.85,0.65,5.2,0.1,0.0,5.09,-0.0,0.0,4.44,0.01,0.04 
110.864000, 1, myObstacle 17,0.8,0.09,-0.04,0.81,0.61,5.2,0.1,0.0,5.09,-0.0,0.0,4.48,0.01,0.04 
111.072000, 1, myObstacle 17,0.8,0.09,-0.04,0.81,0.59,5.2,0.1,0.0,5.09,-0.0,0.0,4.5,0.01,0.04 
111.256000, 1, myObstacle 17,0.74,0.09,-0.04,0.74,0.56,5.2,0.1,0.0,5.09,-0.0,0.0,4.53,0.01,0.04 
111.565000, 1, myObstacle 17,0.74,0.09,-0.04,0.74,0.52,5.2,0.1,0.0,5.09,-0.0,0.0,4.57,0.01,0.04 
111.873000, 1, myObstacle 17,0.74,0.09,-0.04,0.74,0.48,5.2,0.1,0.0,5.09,-0.0,0.0,4.61,0.01,0.04 
