 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
78.672000, 0, Obstacle 52 ,,,,,1.5,,,,1.92,0.0,0.0,0.42,0.0,0.04 
84.388000, 1, myObstacle 52,0.94,0.1,-0.04,0.94,0.76,3.41,0.1,0.0,1.92,0.0,0.0,1.16,0.0,0.04 
84.620000, 1, myObstacle 52,0.94,0.1,-0.04,0.94,0.73,3.41,0.1,0.0,1.92,0.0,0.0,1.19,0.0,0.04 
84.931000, 1, myObstacle 52,0.94,0.1,-0.04,0.94,0.69,3.41,0.1,0.0,1.92,0.0,0.0,1.23,0.0,0.04 
85.149000, 1, myObstacle 52,0.94,0.1,-0.04,0.94,0.66,3.41,0.1,0.0,1.92,0.0,0.0,1.26,0.0,0.04 
86.439000, 1, myObstacle 52,0.68,0.1,-0.04,0.69,0.49,2.06,0.1,0.0,1.92,0.0,0.0,1.43,0.0,0.04 
86.665000, 1, myObstacle 52,0.68,0.1,-0.04,0.69,0.46,3.45,0.1,0.0,1.92,0.0,0.0,1.46,0.0,0.04 
86.907000, 1, myObstacle 52,0.68,0.1,-0.04,0.69,0.43,3.43,0.1,0.0,1.92,0.0,0.0,1.49,0.0,0.04 
87.123000, 1, myObstacle 52,0.68,0.1,-0.04,0.69,0.4,3.43,0.1,0.0,1.92,0.0,0.0,1.52,0.0,0.04 
89.366000, 0, Obstacle 59 ,,,,,1.5,,,,3.31,-0.0,0.0,1.81,0.01,0.04 
93.374000, 0, Obstacle 73 ,,,,,1.5,,,,3.83,0.0,0.0,2.33,0.01,0.04 
93.492000, 1, myObstacle 59,1.16,0.1,-0.04,1.16,0.96,3.43,0.11,0.0,3.31,-0.0,0.0,2.35,0.01,0.04 
93.745000, 1, myObstacle 59,1.1,0.09,-0.04,1.11,0.93,3.43,0.1,0.0,3.31,-0.0,0.0,2.38,0.01,0.04 
93.993000, 1, myObstacle 59,1.1,0.09,-0.04,1.11,0.9,3.42,0.1,0.0,3.31,-0.0,0.0,2.41,0.01,0.04 
94.270000, 1, myObstacle 59,1.05,0.09,-0.04,1.05,0.86,3.42,0.1,0.0,3.31,-0.0,0.0,2.45,0.01,0.04 
94.505000, 1, myObstacle 59,0.99,0.09,-0.04,1.05,0.84,3.42,0.1,0.0,3.31,-0.0,0.0,2.48,0.01,0.04 
94.762000, 1, myObstacle 59,0.99,0.09,-0.04,1.0,0.8,3.42,0.1,0.0,3.31,-0.0,0.0,2.51,0.01,0.04 
94.954000, 1, myObstacle 59,0.94,0.09,-0.04,1.0,0.78,3.43,0.1,0.0,3.31,-0.0,0.0,2.53,0.01,0.04 
95.178000, 1, myObstacle 59,0.94,0.09,-0.04,0.95,0.75,3.42,0.1,0.0,3.31,-0.0,0.0,2.56,0.01,0.04 
95.381000, 1, myObstacle 59,0.94,0.09,-0.04,0.95,0.72,3.42,0.11,0.0,3.31,-0.0,0.0,2.59,0.01,0.04 
95.556000, 1, myObstacle 59,0.87,0.09,-0.04,0.88,0.7,3.42,0.1,0.0,3.31,-0.0,0.0,2.61,0.01,0.04 
95.818000, 1, myObstacle 52,1.38,0.09,-0.04,1.39,0.73,3.96,0.1,0.0,1.92,0.0,0.0,2.65,0.01,0.04 
95.912000, 1, myObstacle 59,0.8,0.09,-0.04,0.88,0.65,3.42,0.1,0.0,3.31,-0.0,0.0,2.66,0.01,0.04 
96.110000, 1, myObstacle 52,1.38,0.09,-0.04,1.39,0.77,3.96,0.1,0.0,1.92,0.0,0.0,2.68,0.01,0.04 
96.224000, 1, myObstacle 59,0.8,0.09,-0.04,0.81,0.61,3.42,0.1,0.0,3.31,-0.0,0.0,2.7,0.01,0.04 
96.464000, 1, myObstacle 52,1.38,0.09,-0.04,1.39,0.81,3.96,0.1,0.0,1.92,0.0,0.0,2.73,0.01,0.04 
96.600000, 1, myObstacle 59,0.76,0.09,-0.04,0.76,0.56,3.42,0.1,0.0,3.31,-0.0,0.0,2.75,0.01,0.04 
96.863000, 1, myObstacle 59,0.69,0.09,-0.04,0.76,0.53,3.43,0.1,0.0,3.31,-0.0,0.0,2.78,0.01,0.04 
97.053000, 1, myObstacle 59,0.69,0.09,-0.04,0.7,0.5,3.45,0.1,0.0,3.31,-0.0,0.0,2.81,0.01,0.04 
