secs, nsecs, belief, value
94,452000000,,Obstacle_180.792125449462,0.0950360437079,-0.036183214301,0.798626196844
94,585000000,,ObstacleOnTheWayTrue
94,669000000,,Obstacle_180.792125449462,0.0950360437079,-0.036183214301,0.798626196844
94,774000000,,CameraDownFalse
94,877000000,,ObstacleOnTheWayTrue
94,994000000,,Obstacle_180.714848270904,0.0962516458742,-0.0375588947562,0.722276332384
95,8000000,,KnowsTargetLocationMissing
95,29000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
95,137000000,,Obstacle_200.70698273553,0.0964272555575,-0.0388136354461,0.714583306724
95,276000000,,CameraUpTrue
95,307000000,,ObstacleOnTheWayTrue
95,307000000,,Obstacle_180.714848270904,0.0962516458742,-0.0375588947562,0.722276332384
95,421000000,,Obstacle_200.70698273553,0.0964272555575,-0.0388136354461,0.714583306724
95,583000000,,KnowsTargetLocationFalse
95,656000000,,ObstacleOnTheWayTrue
95,681000000,,Obstacle_180.714848270904,0.0962516458742,-0.0375588947562,0.722276332384
95,756000000,,Obstacle_200.70698273553,0.0964272555575,-0.0388136354461,0.714583306724
95,917000000,,KnowsTargetLocationFalse
96,305000000,,KnowsTargetLocationFalse
96,619000000,,KnowsTargetLocationFalse
96,806000000,,KnowsTargetLocationTrue
97,79000000,,ObstacleOnTheWayMissing
97,100000000,,ObstacleOnTheWayUpdating
97,109000000,,KnowsTargetLocationTrue
97,460000000,,KnowsTargetLocationTrue
97,819000000,,KnowsTargetLocationFalse
98,106000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
98,107000000,,KnowsTargetLocationFalse
98,415000000,,KnowsTargetLocationFalse
98,645000000,,KnowsTargetLocationTrue
98,945000000,,CameraUpFalse
99,4000000,,KnowsTargetLocationTrue
99,117000000,,ObstacleOnTheWayMissing
99,137000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
99,447000000,,CameraDownTrue
99,655000000,,ObstacleOnTheWayFalse
99,957000000,,ObstacleOnTheWayFalse
100,154000000,,KnowsTargetLocationMissing
100,327000000,,ObstacleOnTheWayFalse
100,429000000,,ObstacleOnTheWayTrue
100,430000000,,Obstacle_700.697971950932,0.094406184446,-0.038778570182,0.705394321961
100,606000000,,Obstacle_700.697971950932,0.094406184446,-0.038778570182,0.705394321961
100,754000000,,ObstacleOnTheWayTrue
100,869000000,,Obstacle_700.697971950932,0.094406184446,-0.038778570182,0.705394321961
101,151000000,,ObstacleOnTheWayTrue
101,158000000,,Obstacle_700.697971950932,0.094406184446,-0.038778570182,0.705394321961
101,198000000,,KnowsTargetLocationMissing
101,210000000,,KnowsTargetLocationUpdating
101,454000000,,ObstacleOnTheWayFalse
101,872000000,,ObstacleOnTheWayFalse
102,218000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
102,273000000,,ObstacleOnTheWayFalse
102,652000000,,ObstacleOnTheWayFalse
103,40000000,,CameraDownFalse
103,155000000,,ObstacleOnTheWayFalse
103,265000000,,KnowsTargetLocationMissing
103,285000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
103,300000000,,ObstacleOnTheWayTrue
103,302000000,,Obstacle_201.24007966988,0.0928778804307,-0.0372416096823,1.24411045563
103,414000000,,Obstacle_201.24007966988,0.0928778804307,-0.0372416096823,1.24411045563
103,547000000,,CameraUpTrue
103,612000000,,ObstacleOnTheWayTrue
103,612000000,,Obstacle_201.24007966988,0.0928778804307,-0.0372416096823,1.24411045563
103,778000000,,KnowsTargetLocationFalse
103,896000000,,ObstacleOnTheWayTrue
103,900000000,,Obstacle_201.24007966988,0.0928778804307,-0.0372416096823,1.24411045563
104,31000000,,KnowsTargetLocationTrue
104,136000000,,Obstacle_201.24007966988,0.0928778804307,-0.0372416096823,1.24411045563
104,486000000,,KnowsTargetLocationTrue
104,835000000,,KnowsTargetLocationTrue
105,137000000,,KnowsTargetLocationTrue
105,324000000,,ObstacleOnTheWayMissing
105,342000000,,ObstacleOnTheWayUpdating
105,460000000,,KnowsTargetLocationTrue
105,763000000,,KnowsTargetLocationTrue
106,115000000,,KnowsTargetLocationTrue
106,343000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
106,473000000,,KnowsTargetLocationTrue
106,867000000,,KnowsTargetLocationTrue
107,181000000,,CameraUpFalse
107,182000000,,KnowsTargetLocationTrue
107,349000000,,ObstacleOnTheWayMissing
107,379000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
107,681000000,,CameraDownTrue
107,879000000,,ObstacleOnTheWayFalse
108,270000000,,ObstacleOnTheWayFalse
108,395000000,,KnowsTargetLocationMissing
108,558000000,,ObstacleOnTheWayFalse
108,692000000,,ObstacleOnTheWayTrue
108,699000000,,Obstacle_201.1067341984,0.0895400484215,-0.0362586263745,1.1109422551
108,937000000,,Obstacle_201.1067341984,0.0895400484215,-0.0362586263745,1.1109422551
109,99000000,,ObstacleOnTheWayTrue
109,196000000,,Obstacle_201.03904006498,0.0886728797337,-0.0361561833633,1.04344353265
109,431000000,,KnowsTargetLocationMissing
109,441000000,,KnowsTargetLocationUpdating
109,458000000,,ObstacleOnTheWayTrue
109,458000000,,Obstacle_201.03904006498,0.0886728797337,-0.0361561833633,1.04344353265
109,781000000,,ObstacleOnTheWayTrue
109,782000000,,Obstacle_201.03904006498,0.0886728797337,-0.0361561833633,1.04344353265
110,17000000,,Obstacle_190.951765817906,0.0913522583107,-0.0375362111984,0.956876363165
110,151000000,,ObstacleOnTheWayTrue
110,200000000,,Obstacle_190.951765817906,0.0913522583107,-0.0375362111984,0.956876363165
110,455000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
110,511000000,,ObstacleOnTheWayTrue
110,520000000,,Obstacle_190.880380666253,0.0908406416128,-0.037529416768,0.885850211268
110,781000000,,ObstacleOnTheWayTrue
110,795000000,,Obstacle_190.880380666253,0.0908406416128,-0.037529416768,0.885850211268
110,872000000,,Obstacle_190.798146293385,0.0884070689867,-0.0361799187943,0.885850211268
110,929000000,,Obstacle_190.798146293385,0.0884070689867,-0.0361799187943,0.803842212138
111,101000000,,ObstacleOnTheWayTrue
111,161000000,,Obstacle_190.798146293385,0.0884070689867,-0.0361799187943,0.803842212138
111,261000000,,CameraDownFalse
111,473000000,,KnowsTargetLocationMissing
111,479000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
111,479000000,,ObstacleOnTheWayTrue
111,496000000,,Obstacle_190.733271055313,0.0877531395593,-0.0361924467546,0.739389577466
111,617000000,,Obstacle_200.708737736408,0.0892706003374,-0.0375611214604,0.715324581528
111,761000000,,CameraUpTrue
111,775000000,,Obstacle_190.733271055313,0.0877531395593,-0.0361924467546,0.739389577466
111,852000000,,ObstacleOnTheWayTrue
111,891000000,,Obstacle_200.708737736408,0.0892706003374,-0.0375611214604,0.715324581528
112,20000000,,KnowsTargetLocationFalse
112,180000000,,Obstacle_190.733271055313,0.0877531395593,-0.0361924467546,0.739389577466
112,326000000,,ObstacleOnTheWayTrue
112,334000000,,Obstacle_200.708737736408,0.0892706003374,-0.0375611214604,0.715324581528
112,459000000,,KnowsTargetLocationTrue
112,792000000,,KnowsTargetLocationTrue
113,198000000,,KnowsTargetLocationTrue
113,538000000,,KnowsTargetLocationTrue
113,907000000,,KnowsTargetLocationTrue
114,274000000,,ObstacleOnTheWayMissing
114,260000000,,KnowsTargetLocationTrue
114,297000000,,ObstacleOnTheWayUpdating
114,566000000,,KnowsTargetLocationTrue
114,905000000,,KnowsTargetLocationTrue
115,253000000,,KnowsTargetLocationTrue
115,480000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
115,605000000,,KnowsTargetLocationTrue
115,914000000,,KnowsTargetLocationTrue
116,292000000,,KnowsTargetLocationTrue
116,625000000,,KnowsTargetLocationTrue
116,700000000,,ObstacleOnTheWayMissing
116,716000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
116,873000000,,KnowsTargetLocationTrue
117,197000000,,KnowsTargetLocationTrue
117,230000000,,CameraUpFalse
117,722000000,,ObstacleOnTheWayMissing
117,730000000,,CameraDownTrue
117,851000000,,ObstacleOnTheWayFalse
118,139000000,,ObstacleOnTheWayFalse
118,454000000,,ObstacleOnTheWayTrue
118,461000000,,Obstacle_700.678273891771,0.0862873075044,-0.0392373422614,0.684865344956
118,730000000,,ObstacleOnTheWayTrue
118,750000000,,KnowsTargetLocationMissing
118,763000000,,KnowsTargetLocationUpdating
118,732000000,,Obstacle_700.678273891771,0.0862873075044,-0.0392373422614,0.684865344956
118,965000000,,Obstacle_700.678273891771,0.0862873075044,-0.0392373422614,0.684865344956
119,55000000,,ObstacleOnTheWayTrue
119,57000000,,Obstacle_730.843568154131,0.0858153859125,-0.0375512581819,0.848752972374
119,312000000,,Obstacle_520.605809974022,0.0503568835261,-0.0388216551089,0.60913763736
119,368000000,,ObstacleOnTheWayTrue
119,379000000,,Obstacle_730.843568154131,0.0858153859125,-0.0375512581819,0.848752972374
119,634000000,,Obstacle_520.605809974022,0.0503568835261,-0.0388216551089,0.60913763736
119,730000000,,ObstacleOnTheWayTrue
119,750000000,,Obstacle_591.49427235142,0.0830050161274,-0.0357937481611,1.49700396971
119,771000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
119,853000000,,Obstacle_730.77337214349,0.0846519397864,-0.0361835249899,0.778832248123
120,37000000,,ObstacleOnTheWayTrue
120,156000000,,Obstacle_520.605809974022,0.0503568835261,-0.0388216551089,0.60913763736
120,246000000,,Obstacle_591.40496354989,0.0831220527867,-0.0359749951035,1.49700396971
120,380000000,,ObstacleOnTheWayTrue
120,380000000,,Obstacle_730.699462916331,0.0845429014716,-0.0388161692094,0.705622114523
120,635000000,,CameraDownFalse
120,637000000,,Obstacle_591.40496354989,0.0831220527867,-0.0359749951035,1.40787998511
120,732000000,,ObstacleOnTheWayTrue
120,733000000,,Obstacle_700.663449342173,0.0842164645785,-0.0387655981275,0.669895674067
120,787000000,,KnowsTargetLocationMissing
120,796000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
120,819000000,,Obstacle_730.699462916331,0.0845429014716,-0.0388161692094,0.705622114523
120,970000000,,ObstacleOnTheWayTrue
120,989000000,,Obstacle_520.649518113611,0.084364502746,-0.0388168954829,0.656123388249
121,54000000,,Obstacle_591.32213863767,0.0807792433886,-0.0363528659908,1.32510278629
121,135000000,,CameraUpTrue
121,167000000,,Obstacle_700.663449342173,0.0842164645785,-0.0387655981275,0.669895674067
121,297000000,,KnowsTargetLocationFalse
121,395000000,,ObstacleOnTheWayTrue
121,405000000,,Obstacle_520.649518113611,0.084364502746,-0.0388168954829,0.656123388249
121,528000000,,Obstacle_591.32213863767,0.0807792433886,-0.0363528659908,1.32510278629
121,656000000,,Obstacle_700.663449342173,0.0842164645785,-0.0387655981275,0.669895674067
121,772000000,,KnowsTargetLocationTrue
122,107000000,,KnowsTargetLocationTrue
122,469000000,,KnowsTargetLocationTrue
122,764000000,,KnowsTargetLocationTrue
122,839000000,,ObstacleOnTheWayMissing
122,864000000,,ObstacleOnTheWayUpdating
123,111000000,,KnowsTargetLocationTrue
123,398000000,,KnowsTargetLocationTrue
123,818000000,,KnowsTargetLocationTrue
123,874000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
124,217000000,,KnowsTargetLocationTrue
124,527000000,,KnowsTargetLocationTrue
124,844000000,,CameraUpFalse
124,838000000,,KnowsTargetLocationTrue
124,880000000,,ObstacleOnTheWayMissing
124,898000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
125,344000000,,CameraDownTrue
125,530000000,,ObstacleOnTheWayFalse
125,793000000,,ObstacleOnTheWayFalse
125,910000000,,KnowsTargetLocationMissing
126,118000000,,ObstacleOnTheWayFalse
126,425000000,,ObstacleOnTheWayFalse
126,727000000,,ObstacleOnTheWayFalse
126,937000000,,KnowsTargetLocationMissing
126,947000000,,KnowsTargetLocationUpdating
127,34000000,,ObstacleOnTheWayTrue
127,36000000,,Obstacle_161.39613560976,0.07700284982,-0.0360082265615,1.39872108445
127,289000000,,Obstacle_521.34546041372,0.0811363184219,-0.03604109499,1.34838636436
127,348000000,,ObstacleOnTheWayTrue
127,355000000,,Obstacle_161.39613560976,0.07700284982,-0.0360082265615,1.39872108445
