secs, nsecs, belief, value,,,,,
97,870000000,,ObstacleOnTheWayFalse,,,,,
98,207000000,,ObstacleOnTheWayFalse,,,,,
98,306000000,,KnowsTargetLocationMissing,,,,,
98,317000000,,KnowsTargetLocationUpdating,,,,,
98,526000000,,ObstacleOnTheWayFalse,,,,,
98,835000000,,ObstacleOnTheWayFalse,,,,,
99,196000000,,ObstacleOnTheWayFalse,,,,,
99,325000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
99,528000000,,ObstacleOnTheWayFalse,,,,,
99,851000000,,ObstacleOnTheWayFalse,,,,,
100,103000000,,CameraDownFalse,,,,,
100,107000000,,ObstacleOnTheWayFalse,,,,,
100,338000000,,KnowsTargetLocationMissing,,,,,
100,347000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
100,498000000,,ObstacleOnTheWayTrue,,,,,
100,498000000,,Obstacle_700.699233757501,0.0951298487,-0.0388312881,0.7067428137,,
100,603000000,,CameraUpTrue,,,,,
100,653000000,,Obstacle_700.699233757501,0.0951298487,-0.0388312881,0.7067428137,,
100,828000000,,KnowsTargetLocationFalse,,,,,
100,913000000,,ObstacleOnTheWayTrue,,,,,
100,914000000,,Obstacle_700.699233757501,0.0951298487,-0.0388312881,0.7067428137,,
101,167000000,,Obstacle_700.699233757501,0.0951298487,-0.0388312881,0.7067428137,,
101,344000000,,KnowsTargetLocationFalse,,,,,
101,665000000,,KnowsTargetLocationFalse,,,,,
101,971000000,,KnowsTargetLocationFalse,,,,,
102,183000000,,KnowsTargetLocationTrue,,,,,
102,545000000,,KnowsTargetLocationTrue,,,,,
102,891000000,,KnowsTargetLocationTrue,,,,,
103,202000000,,KnowsTargetLocationTrue,,,,,
103,541000000,,KnowsTargetLocationTrue,,,,,
104,21000000,,KnowsTargetLocationFalse,,,,,
104,309000000,,KnowsTargetLocationFalse,,,,,
104,461000000,,KnowsTargetLocationTrue,,,,,
104,826000000,,KnowsTargetLocationTrue,,,,,
105,242000000,,KnowsTargetLocationTrue,,,,,
105,466000000,,ObstacleOnTheWayMissing,,,,,
105,483000000,,ObstacleOnTheWayUpdating,,,,,
105,640000000,,KnowsTargetLocationTrue,,,,,
105,953000000,,KnowsTargetLocationTrue,,,,,
106,244000000,,KnowsTargetLocationTrue,,,,,
106,488000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
106,569000000,,KnowsTargetLocationTrue,,,,,
106,986000000,,KnowsTargetLocationTrue,,,,,
107,321000000,,CameraUpFalse,,,,,
107,381000000,,KnowsTargetLocationFalse,,,,,
107,823000000,,CameraDownTrue,,,,,
107,965000000,,ObstacleOnTheWayFalse,,,,,
108,329000000,,ObstacleOnTheWayFalse,,,,,
108,531000000,,KnowsTargetLocationMissing,,,,,
108,649000000,,ObstacleOnTheWayFalse,,,,,
108,943000000,,ObstacleOnTheWayFalse,,,,,
109,225000000,,ObstacleOnTheWayFalse,,,,,
109,517000000,,ObstacleOnTheWayFalse,,,,,
109,564000000,,KnowsTargetLocationMissing,,,,,
109,584000000,,KnowsTargetLocationUpdating,,,,,
109,874000000,,ObstacleOnTheWayFalse,,,,,
110,251000000,,ObstacleOnTheWayFalse,,,,,
110,506000000,,ObstacleOnTheWayFalse,,,,,
110,589000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
110,847000000,,ObstacleOnTheWayFalse,,,,,
111,209000000,,ObstacleOnTheWayFalse,,,,,
111,332000000,,CameraDownFalse,,,,,
111,605000000,,KnowsTargetLocationMissing,,,,,
111,617000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
111,833000000,,CameraUpTrue,,,,,
112,19000000,,KnowsTargetLocationFalse,,,,,
112,193000000,,KnowsTargetLocationTrue,,,,,
112,526000000,,KnowsTargetLocationTrue,,,,,
112,948000000,,KnowsTargetLocationTrue,,,,,
113,315000000,,KnowsTargetLocationTrue,,,,,
113,633000000,,KnowsTargetLocationTrue,,,,,
114,2000000,,KnowsTargetLocationTrue,,,,,
114,302000000,,KnowsTargetLocationTrue,,,,,
114,599000000,,KnowsTargetLocationTrue,,,,,
115,20000000,,KnowsTargetLocationTrue,,,,,
115,312000000,,KnowsTargetLocationTrue,,,,,
115,634000000,,KnowsTargetLocationTrue,,,,,
115,701000000,,ObstacleOnTheWayMissing,,,,,
115,722000000,,ObstacleOnTheWayUpdating,,,,,
115,970000000,,KnowsTargetLocationTrue,,,,,
116,264000000,,KnowsTargetLocationTrue,,,,,
116,553000000,,KnowsTargetLocationTrue,,,,,
116,733000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
116,947000000,,KnowsTargetLocationTrue,,,,,
117,331000000,,KnowsTargetLocationTrue,,,,,
117,537000000,,CameraUpFalse,,,,,
118,37000000,,CameraDownTrue,,,,,
118,268000000,,ObstacleOnTheWayFalse,,,,,
118,654000000,,ObstacleOnTheWayFalse,,,,,
118,952000000,,ObstacleOnTheWayFalse,,,,,
119,274000000,,ObstacleOnTheWayFalse,,,,,
119,528000000,,KnowsTargetLocationMissing,,,,,
119,558000000,,KnowsTargetLocationUpdating,,,,,
119,568000000,,ObstacleOnTheWayFalse,,,,,
119,877000000,,ObstacleOnTheWayFalse,,,,,
120,229000000,,ObstacleOnTheWayFalse,,,,,
120,506000000,,ObstacleOnTheWayFalse,,,,,
120,574000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
120,924000000,,ObstacleOnTheWayFalse,,,,,
121,277000000,,ObstacleOnTheWayFalse,,,,,
121,422000000,,CameraDownFalse,,,,,
121,587000000,,KnowsTargetLocationMissing,,,,,
121,599000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
121,924000000,,CameraUpTrue,,,,,
122,104000000,,KnowsTargetLocationTrue,,,,,
122,450000000,,KnowsTargetLocationTrue,,,,,
122,834000000,,KnowsTargetLocationTrue,,,,,
123,208000000,,KnowsTargetLocationTrue,,,,,
123,558000000,,KnowsTargetLocationTrue,,,,,
123,825000000,,KnowsTargetLocationTrue,,,,,
124,149000000,,KnowsTargetLocationTrue,,,,,
124,441000000,,KnowsTargetLocationTrue,,,,,
124,901000000,,KnowsTargetLocationTrue,,,,,
125,127000000,,KnowsTargetLocationTrue,,,,,
125,486000000,,KnowsTargetLocationTrue,,,,,
125,680000000,,ObstacleOnTheWayMissing,,,,,
125,701000000,,ObstacleOnTheWayUpdating,,,,,
125,780000000,,KnowsTargetLocationTrue,,,,,
126,161000000,,KnowsTargetLocationTrue,,,,,
126,466000000,,KnowsTargetLocationTrue,,,,,
126,712000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
126,859000000,,KnowsTargetLocationTrue,,,,,
127,180000000,,KnowsTargetLocationTrue,,,,,
127,518000000,,KnowsTargetLocationTrue,,,,,
127,543000000,,CameraUpFalse,,,,,
128,43000000,,CameraDownTrue,,,,,
128,203000000,,ObstacleOnTheWayFalse,,,,,
128,573000000,,ObstacleOnTheWayFalse,,,,,
128,744000000,,KnowsTargetLocationMissing,,,,,
128,852000000,,ObstacleOnTheWayFalse,,,,,
129,173000000,,ObstacleOnTheWayFalse,,,,,
129,482000000,,ObstacleOnTheWayFalse,,,,,
129,611000000,,ObstacleOnTheWayTrue,,,,,
129,611000000,,Obstacle_161.08640720356,0.0829445678,-0.0358049487,1.0901570564,,
129,774000000,,KnowsTargetLocationMissing,,,,,
129,786000000,,KnowsTargetLocationUpdating,,,,,
129,877000000,,Obstacle_161.08640720356,0.0829445678,-0.0358049487,1.0901570564,,
130,9000000,,ObstacleOnTheWayTrue,,,,,
130,83000000,,Obstacle_161.02161979209,0.0810200552,-0.0347824288,1.0254175083,,
130,336000000,,ObstacleOnTheWayTrue,,,,,
130,349000000,,Obstacle_161.02161979209,0.0810200552,-0.0347824288,1.0254175083,,
130,553000000,,Obstacle_161.02161979209,0.0810200552,-0.0347824288,1.0254175083,,
130,694000000,,ObstacleOnTheWayTrue,,,,,
130,796000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
130,791000000,,Obstacle_160.928910000173,0.0805872132,-0.0361739505,0.933100553,,
131,19000000,,ObstacleOnTheWayTrue,,,,,
131,134000000,,Obstacle_160.928910000173,0.0805872132,-0.0361739505,0.933100553,,
131,283000000,,ObstacleOnTheWayTrue,,,,,
131,404000000,,Obstacle_160.928910000173,0.0805872132,-0.0361739505,0.933100553,,
131,585000000,,ObstacleOnTheWayTrue,,,,,
131,735000000,,Obstacle_160.830453174725,0.0818724607,-0.0375233084,0.8353224371,,
131,810000000,,KnowsTargetLocationMissing,,,,,
131,826000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
131,853000000,,CameraDownFalse,,,,,
132,9000000,,ObstacleOnTheWayTrue,,,,,
132,9000000,,Obstacle_160.830453174725,0.0818724607,-0.0375233084,0.8353224371,,
132,141000000,,Obstacle_160.830453174725,0.0818724607,-0.0375233084,0.8353224371,,
132,262000000,,ObstacleOnTheWayTrue,,,,,
132,263000000,,Obstacle_160.830453174725,0.0818724607,-0.0375233084,0.8353224371,,
132,355000000,,CameraUpTrue,,,,,
132,410000000,,Obstacle_160.830453174725,0.0818724607,-0.0375233084,0.8353224371,,
