secs, nsecs, belief, value
101,750000000,,Obstacle_171.09655236273,0.0907788777709,-0.0375294428225,1.10094338998
101,850000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
101,901000000,,Obstacle_181.17039333642,0.0922435206435,-0.0360581083439,1.17457635606
102,48000000,,ObstacleOnTheWayTrue
102,234000000,,Obstacle_171.01573518233,0.0923842600831,-0.0360446582998,1.02056456411
102,388000000,,ObstacleOnTheWayTrue
102,449000000,,Obstacle_171.01573518233,0.0923842600831,-0.0360446582998,1.02056456411
102,629000000,,CameraDownFalse
102,701000000,,ObstacleOnTheWayTrue
102,701000000,,Obstacle_171.01573518233,0.0923842600831,-0.0360446582998,1.02056456411
102,850000000,,Obstacle_171.01573518233,0.0923842600831,-0.0360446582998,1.02056456411
103,13000000,,ObstacleOnTheWayTrue
103,50000000,,Obstacle_170.915455586002,0.0913653183136,-0.0359169131116,0.920704391203
103,130000000,,CameraUpTrue
103,198000000,,KnowsTargetLocationFalse
103,293000000,,ObstacleOnTheWayTrue
103,305000000,,Obstacle_170.915455586002,0.0913653183136,-0.0359169131116,0.920704391203
103,553000000,,ObstacleOnTheWayTrue
103,560000000,,Obstacle_170.915455586002,0.0913653183136,-0.0359169131116,0.920704391203
103,734000000,,KnowsTargetLocationTrue
103,823000000,,ObstacleOnTheWayTrue
103,823000000,,Obstacle_170.915455586002,0.0913653183136,-0.0359169131116,0.920704391203
104,149000000,,KnowsTargetLocationTrue
104,521000000,,KnowsTargetLocationTrue
105,43000000,,KnowsTargetLocationTrue
105,334000000,,KnowsTargetLocationTrue
105,616000000,,KnowsTargetLocationTrue
105,932000000,,KnowsTargetLocationTrue
106,277000000,,KnowsTargetLocationTrue
106,598000000,,KnowsTargetLocationTrue
106,974000000,,KnowsTargetLocationTrue
107,306000000,,KnowsTargetLocationTrue
107,591000000,,KnowsTargetLocationTrue
107,895000000,,KnowsTargetLocationTrue
108,52000000,,ObstacleOnTheWayMissing
108,77000000,,ObstacleOnTheWayUpdating
108,206000000,,KnowsTargetLocationTrue
108,533000000,,KnowsTargetLocationTrue
108,841000000,,KnowsTargetLocationTrue
109,96000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
109,158000000,,KnowsTargetLocationTrue
109,574000000,,KnowsTargetLocationTrue
109,893000000,,CameraUpFalse
109,919000000,,KnowsTargetLocationTrue
110,393000000,,CameraDownTrue
110,524000000,,ObstacleOnTheWayFalse
110,841000000,,ObstacleOnTheWayFalse
111,139000000,,ObstacleOnTheWayFalse
111,429000000,,ObstacleOnTheWayFalse
111,776000000,,ObstacleOnTheWayFalse
112,188000000,,ObstacleOnTheWayFalse
112,431000000,,ObstacleOnTheWayTrue
112,439000000,,Obstacle_590.673918278423,0.0876231101941,-0.0387748276302,0.680696072187
112,541000000,,Obstacle_211.41992029212,0.0831035063746,-0.0345912803653,1.42277067212
112,783000000,,ObstacleOnTheWayTrue
