secs, nsecs, belief, value
97,615000000,,KnowsTargetLocationMissing
97,627000000,,KnowsTargetLocationUpdating
97,696000000,,ObstacleOnTheWayTrue
97,705000000,,Obstacle_701.19735353666,0.0926196659556,-0.037519764926,1.2015163865
97,949000000,,Obstacle_701.09792074225,0.0907414640626,-0.0361470541881,1.2015163865
98,80000000,,ObstacleOnTheWayTrue
98,176000000,,Obstacle_701.09792074225,0.0907414640626,-0.0361470541881,1.10225703858
98,340000000,,ObstacleOnTheWayTrue
98,344000000,,Obstacle_701.09792074225,0.0907414640626,-0.0361470541881,1.10225703858
98,597000000,,Obstacle_701.02900492662,0.0928301618567,-0.0375402128751,1.03386548716
98,627000000,,ObstacleOnTheWayTrue
98,637000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
98,745000000,,Obstacle_701.02900492662,0.0928301618567,-0.0375402128751,1.03386548716
98,933000000,,ObstacleOnTheWayTrue
99,35000000,,Obstacle_701.02900492662,0.0928301618567,-0.0375402128751,1.03386548716
99,245000000,,ObstacleOnTheWayTrue
99,351000000,,Obstacle_700.944243253333,0.0909060168872,-0.0361669034013,0.949298304156
99,619000000,,ObstacleOnTheWayTrue
99,621000000,,Obstacle_700.944243253333,0.0909060168872,-0.0361669034013,0.949298304156
99,778000000,,CameraDownFalse
100,47000000,,ObstacleOnTheWayTrue
100,66000000,,Obstacle_700.87081013423,0.0925601662836,-0.037516012867,0.876518753639
100,248000000,,Obstacle_700.87081013423,0.0925601662836,-0.037516012867,0.876518753639
100,278000000,,CameraUpTrue
100,371000000,,ObstacleOnTheWayTrue
100,373000000,,Obstacle_181.33339526272,0.0900597602156,-0.0348239742738,1.33688683
100,545000000,,KnowsTargetLocationFalse
100,648000000,,Obstacle_700.87081013423,0.0925601662836,-0.037516012867,0.876518753639
100,771000000,,ObstacleOnTheWayTrue
100,780000000,,Obstacle_181.33339526272,0.0900597602156,-0.0348239742738,1.33688683
100,993000000,,KnowsTargetLocationTrue
101,96000000,,ObstacleOnTheWayTrue
101,117000000,,Obstacle_181.33339526272,0.0900597602156,-0.0348239742738,1.33688683
101,267000000,,KnowsTargetLocationTrue
101,536000000,,KnowsTargetLocationTrue
101,911000000,,KnowsTargetLocationTrue
102,248000000,,KnowsTargetLocationTrue
102,561000000,,KnowsTargetLocationTrue
102,753000000,,ObstacleOnTheWayMissing
102,778000000,,ObstacleOnTheWayUpdating
102,914000000,,KnowsTargetLocationTrue
103,207000000,,KnowsTargetLocationTrue
103,539000000,,KnowsTargetLocationTrue
103,789000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
103,862000000,,KnowsTargetLocationTrue
104,298000000,,KnowsTargetLocationTrue
104,579000000,,CameraUpFalse
104,666000000,,KnowsTargetLocationTrue
104,792000000,,ObstacleOnTheWayMissing
