b9_s13_41,41,0.4,0.0
b9_s10_41,41,0.6,0.0
b9_s1_41,41,0.6,1.0
b9_s8_41,41,0.8,1.0
b9_s5_41,41,0.2,0.0
b9_s6_41,41,0.5,1.0
b9_s12_41,41,0.5,0.0
b9_s11_41,41,0.6,0.0
b9_s7_41,41,0.6,0.0
b9_s2_41,41,0.9,0.0
b9_s0_41,41,0.5,1.0
b9_s9_41,41,0.8,1.0
b9_s15_41,41,0.8,1.0
b9_s3_41,41,0.7,1.0
b9_s4_41,41,0.4,1.0
b9_s5_11,11,0.4,1.0
b9_s2_11,11,0.4,0.0
b9_s0_11,11,0.5,0.0
b9_s8_11,11,0.9,1.0
b9_s7_11,11,0.9,0.0
b9_s6_11,11,0.4,0.0
b9_s12_11,11,0.7,0.0
b9_s15_11,11,0.6,1.0
b9_s13_11,11,0.7,1.0
b9_s11_11,11,0.6,0.0
b9_s10_11,11,0.7,0.0
b9_s9_11,11,0.6,0.0
b9_s4_11,11,0.6,0.0
b9_s3_11,11,0.4,0.0
b9_s1_11,11,0.7,1.0
b9_s14_11,11,0.6,0.0
b9_s7_44,44,0.4,1.0
b9_s4_44,44,0.5,1.0
b9_s11_44,44,0.8,0.0
b9_s12_44,44,0.6,0.0
b9_s10_44,44,0.3,0.0
b9_s1_44,44,0.8,1.0
b9_s14_44,44,0.3,0.0
b9_s8_44,44,0.6,0.0
b9_s3_44,44,0.7,1.0
b9_s13_44,44,0.5,0.0
b9_s15_44,44,0.5,1.0
b9_s9_44,44,0.2,1.0
b9_s2_44,44,0.6,1.0
b9_s0_44,44,0.5,1.0
b9_s5_44,44,0.5,1.0
b9_s6_44,44,0.5,1.0
b9_s7_14,14,0.7,0.0
b9_s0_14,14,0.8,0.0
b9_s2_14,14,0.6,1.0
b9_s10_14,14,0.4,1.0
b9_s14_14,14,0.6,0.0
b9_s8_14,14,0.6,0.0
b9_s1_14,14,0.7,1.0
b9_s15_14,14,0.4,1.0
b9_s5_14,14,0.8,0.0
b9_s11_14,14,0.6,1.0
b9_s4_14,14,0.6,0.0
b9_s9_14,14,0.4,0.0
b9_s3_14,14,0.9,1.0
b9_s6_14,14,0.6,1.0
b9_s13_14,14,0.8,0.0
b9_s12_14,14,0.8,0.0
b10_s6_41,41,0.3,1.0
b10_s4_41,41,0.4,1.0
b10_s5_41,41,0.3,0.0
b10_s15_41,41,0.6,1.0
b10_s2_41,41,0.4,0.0
b10_s14_41,41,0.3,0.0
b10_s1_41,41,0.5,1.0
b10_s11_41,41,0.5,0.0
b10_s7_41,41,0.6,1.0
b10_s13_41,41,0.4,1.0
b10_s9_41,41,0.2,0.0
b10_s3_41,41,0.3,1.0
b10_s10_41,41,0.6,1.0
b10_s7_11,11,0.8,0.0
b10_s15_11,11,0.7,0.0
b10_s12_11,11,0.0,1.0
b10_s13_11,11,0.6,0.0
b10_s6_11,11,0.6,0.0
b10_s8_11,11,0.8,0.0
b10_s1_11,11,0.3,0.0
b10_s10_11,11,0.8,0.0
b10_s2_11,11,0.9,0.0
b10_s14_11,11,0.9,1.0
b10_s4_11,11,0.5,0.0
b10_s5_11,11,0.7,0.0
b10_s3_11,11,0.8,0.0
b10_s9_11,11,0.2,0.0
b10_s14_44,44,0.7,1.0
b10_s6_44,44,0.5,0.0
b10_s10_44,44,0.5,1.0
b10_s2_44,44,0.6,0.0
b10_s13_44,44,0.3,0.0
b10_s12_44,44,0.3,1.0
b10_s9_44,44,0.6,0.0
b10_s1_44,44,0.8,0.0
b10_s11_44,44,0.6,1.0
b10_s5_44,44,0.3,1.0
b10_s4_44,44,0.6,1.0
b10_s8_44,44,0.8,1.0
b10_s3_44,44,0.4,1.0
b10_s7_44,44,0.8,1.0
b10_s1_14,14,0.8,1.0
b10_s3_14,14,0.8,1.0
b10_s2_14,14,0.7,0.0
b10_s6_14,14,0.8,1.0
b10_s4_14,14,0.7,0.0
b10_s10_14,14,0.7,1.0
b10_s14_14,14,0.4,0.0
b10_s13_14,14,0.9,0.0
b10_s9_14,14,0.7,1.0
b10_s11_14,14,0.5,1.0
b10_s5_14,14,0.1,1.0
b10_s7_14,14,0.5,1.0
b10_s15_14,14,0.7,0.0
b10_s12_14,14,0.8,0.0
b10_s8_14,14,1.0,1.0
b11_s15_41,41,0.6,1.0
b11_s9_41,41,0.6,1.0
b11_s10_41,41,0.6,1.0
b11_s3_41,41,0.6,1.0
b11_s11_41,41,0.4,1.0
b11_s13_41,41,0.2,1.0
b11_s4_41,41,0.4,1.0
b11_s1_41,41,0.3,1.0
b11_s0_41,41,0.9,0.0
b11_s14_41,41,0.5,0.0
b11_s6_41,41,0.8,1.0
b11_s12_41,41,0.5,0.0
