Batch, World, Method, Experiment, #obstacles passed, #obstacles identified, #targets passed, #targets identified,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b10,w2,APBITE 4.0-4.0,s9,10,6,1,0,X,V,V,V,V,V,X,V,X,X,X,O,O
b10,w2,APBITE 4.0-4.0,s1,10,8,1,0,X,V,V,V,V,V,X,V,V,V,X,O,O
b10,w2,APBITE 4.0-4.0,s11,10,6,1,1,V,X,X,X,V,V,V,X,V,V,V,O,O
b10,w2,APBITE 4.0-4.0,s5,10,3,1,1,X,V,V,X,V,X,X,X,X,X,V,O,O
b10,w2,APBITE 4.0-4.0,s4,10,6,1,1,V,X,V,X,V,V,V,X,X,V,V,O,O
b10,w2,APBITE 4.0-4.0,s8,10,8,1,1,V,X,V,X,V,V,V,V,V,V,V,O,O
b10,w2,APBITE 4.0-4.0,s3,10,4,1,1,X,X,V,X,V,V,X,X,X,V,V,O,O
b10,w2,APBITE 4.0-4.0,s7,10,8,1,1,V,V,V,V,V,V,X,X,V,V,V,O,O
b10,w2,APBITE 1-4.0,s1,10,8,1,1,V,V,V,V,V,X,V,X,V,V,V,O,O
b10,w2,APBITE 1-4.0,s3,10,8,1,1,V,V,V,V,V,X,X,V,V,V,V,O,O
b10,w2,APBITE 1-4.0,s2,10,7,1,0,V,X,V,V,V,X,X,V,V,V,X,O,O
b10,w2,APBITE 1-4.0,s6,10,8,1,1,V,V,V,V,V,X,V,X,V,V,V,O,O
b10,w2,APBITE 1-4.0,s4,10,7,1,0,V,X,V,V,V,V,X,X,V,V,X,O,O
b10,w2,APBITE 1-4.0,s10,10,7,1,1,V,X,V,V,V,V,X,V,V,X,V,O,O
b10,w2,APBITE 1-4.0,s14,10,4,1,0,X,V,X,X,V,X,X,V,V,X,X,O,O
b10,w2,APBITE 1-4.0,s13,10,9,1,0,V,V,V,V,V,V,V,X,V,V,X,O,O
b10,w2,APBITE 1-4.0,s9,10,7,1,1,V,V,V,X,V,X,V,X,V,V,V,O,O
b10,w2,APBITE 1-4.0,s11,10,5,1,1,X,V,V,X,V,X,V,V,X,X,V,O,O
b10,w2,APBITE 1-4.0,s5,10,1,1,1,X,X,V,X,X,X,X,X,X,X,V,O,O
b10,w2,APBITE 1-4.0,s7,10,5,1,1,V,X,V,V,V,X,X,X,X,V,V,O,O
b10,w2,APBITE 1-4.0,s15,10,7,1,0,V,X,V,X,V,V,X,V,V,V,X,O,O
b10,w2,APBITE 1-4.0,s12,10,8,1,0,V,V,V,V,V,V,X,X,V,V,X,O,O
b10,w2,APBITE 1-4.0,s8,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b10,w2,lookup,s13,10,0,1,1,X,X,X,X,X,X,X,X,X,X,V,O,O
b10,w2,lookup,s6,10,0,1,1,X,X,X,X,X,X,X,X,X,X,V,O,O
b10,w2,lookup,s1,10,0,1,1,X,X,X,X,X,X,X,X,X,X,V,O,O
b10,w2,lookup,s11,10,0,1,1,X,X,X,X,X,X,X,X,X,X,V,O,O
b10,w2,lookup,s15,10,0,1,1,X,X,X,X,X,X,X,X,X,X,V,O,O
b10,w2,lookup,s5,10,0,1,0,X,X,X,X,X,X,X,X,X,X,X,O,O
