 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
96.484000, 0, Obstacle 52 ,,,,,1.5,,,,4.12,0.0,0.0,2.62,0.01,0.04 
99.824000, 1, myObstacle 52,1.24,0.09,-0.04,1.24,1.07,4.23,0.1,0.0,4.12,0.0,0.0,3.05,0.01,0.04 
100.000000, 1, myObstacle 52,1.24,0.09,-0.04,1.24,1.04,4.23,0.1,0.0,4.12,0.0,0.0,3.08,0.01,0.04 
100.269000, 1, myObstacle 52,1.24,0.09,-0.04,1.24,1.01,4.23,0.1,0.0,4.12,0.0,0.0,3.11,0.01,0.04 
100.547000, 1, myObstacle 52,1.24,0.09,-0.04,1.24,0.97,4.23,0.1,0.0,4.12,0.0,0.0,3.15,0.01,0.04 
102.955000, 0, Obstacle 59 ,,,,,1.5,,,,4.96,0.0,0.0,3.46,0.01,0.04 
110.767000, 1, myObstacle 59,0.68,0.09,-0.04,0.69,0.49,5.09,0.1,0.0,4.96,0.0,0.0,4.48,0.01,0.04 
110.985000, 1, myObstacle 59,0.68,0.09,-0.04,0.69,0.46,5.09,0.1,0.0,4.96,0.0,0.0,4.5,0.01,0.04 
111.190000, 1, myObstacle 59,0.68,0.09,-0.04,0.69,0.43,5.09,0.1,0.0,4.96,0.0,0.0,4.53,0.01,0.04 
111.316000, 1, myObstacle 59,0.68,0.09,-0.04,0.69,0.41,5.09,0.1,0.0,4.96,0.0,0.0,4.55,0.01,0.04 
111.484000, 1, myObstacle 59,0.68,0.09,-0.04,0.69,0.39,5.09,0.1,0.0,4.96,0.0,0.0,4.57,0.01,0.04 
118.582000, 0, Obstacle 73 ,,,,,1.5,,,,6.99,0.0,0.0,5.49,0.02,0.04 
132.508000, 0, Target target1 ,,,,,2.2,,,,9.5,0.0,0.0,7.3,0.02,0.04 
134.670000, 1, Target Reached1,,,,1.97,1.92,,,,9.5,0.0,0.0,7.58,0.03,0.04 
