 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
95.642000, 0, Obstacle 52 ,,,,,1.5,,,,4.12,0.0,0.0,2.62,0.01,0.04 
97.636000, 1, myObstacle 52,1.41,0.09,-0.04,1.41,1.24,4.23,0.1,0.0,4.12,0.0,0.0,2.88,0.01,0.04 
97.905000, 1, myObstacle 52,1.37,0.09,-0.04,1.41,1.21,4.24,0.1,0.0,4.12,0.0,0.0,2.91,0.01,0.04 
98.143000, 1, myObstacle 52,1.37,0.09,-0.04,1.37,1.18,4.22,0.1,0.0,4.12,0.0,0.0,2.95,0.01,0.04 
98.364000, 1, myObstacle 52,1.3,0.09,-0.04,1.37,1.15,4.23,0.1,0.0,4.12,0.0,0.0,2.97,0.01,0.04 
98.464000, 1, myObstacle 52,1.3,0.09,-0.04,1.3,1.13,4.23,0.1,0.0,4.12,0.0,0.0,2.99,0.01,0.04 
98.535000, 1, myObstacle 52,1.3,0.09,-0.04,1.3,1.12,4.23,0.1,0.0,4.12,0.0,0.0,3.0,0.01,0.04 
98.817000, 1, myObstacle 52,1.24,0.09,-0.04,1.3,1.09,4.23,0.1,0.0,4.12,0.0,0.0,3.03,0.01,0.04 
99.055000, 1, myObstacle 52,1.24,0.09,-0.04,1.25,1.06,4.69,0.14,-0.08,4.12,0.0,0.0,3.06,0.01,0.04 
99.392000, 1, myObstacle 52,1.24,0.09,-0.04,1.25,1.01,4.69,0.14,-0.08,4.12,0.0,0.0,3.11,0.01,0.04 
99.669000, 1, myObstacle 52,1.24,0.09,-0.04,1.25,0.98,4.69,0.14,-0.08,4.12,0.0,0.0,3.14,0.01,0.04 
102.112000, 0, Obstacle 59 ,,,,,1.5,,,,4.96,0.0,0.0,3.46,0.01,0.04 
106.794000, 1, myObstacle 59,1.07,0.09,-0.04,1.07,0.89,5.08,0.1,0.0,4.96,0.0,0.0,4.07,0.01,0.04 
107.024000, 1, myObstacle 59,1.07,0.09,-0.04,1.07,0.86,5.07,0.1,0.0,4.96,0.0,0.0,4.1,0.01,0.04 
107.279000, 1, myObstacle 59,1.01,0.09,-0.04,1.02,0.83,5.07,0.1,0.0,4.96,0.0,0.0,4.13,0.01,0.04 
107.498000, 1, myObstacle 59,1.01,0.09,-0.04,1.02,0.8,5.07,0.1,0.0,4.96,0.0,0.0,4.16,0.01,0.04 
107.733000, 1, myObstacle 59,0.95,0.09,-0.04,0.95,0.77,5.07,0.1,0.0,4.96,0.0,0.0,4.19,0.01,0.04 
107.980000, 1, myObstacle 59,0.95,0.09,-0.04,0.95,0.74,5.07,0.1,0.0,4.96,0.0,0.0,4.22,0.01,0.04 
108.221000, 1, myObstacle 59,0.87,0.09,-0.04,0.87,0.71,5.07,0.1,0.0,4.96,0.0,0.0,4.26,0.01,0.04 
108.398000, 1, myObstacle 59,0.87,0.09,-0.04,0.87,0.68,5.07,0.1,0.0,4.96,0.0,0.0,4.28,0.01,0.04 
108.621000, 1, myObstacle 59,0.81,0.09,-0.04,0.87,0.66,5.07,0.1,0.0,4.96,0.0,0.0,4.31,0.01,0.04 
108.845000, 1, myObstacle 59,0.81,0.09,-0.04,0.82,0.63,5.07,0.1,0.0,4.96,0.0,0.0,4.34,0.01,0.04 
109.066000, 1, myObstacle 59,0.76,0.09,-0.04,0.76,0.6,5.06,0.1,0.0,4.96,0.0,0.0,4.36,0.01,0.04 
109.371000, 1, myObstacle 59,0.76,0.09,-0.04,0.76,0.56,5.07,0.1,0.0,4.96,0.0,0.0,4.4,0.01,0.04 
109.644000, 1, myObstacle 59,0.71,0.09,-0.04,0.71,0.52,5.08,0.1,0.0,4.96,0.0,0.0,4.44,0.01,0.04 
109.862000, 1, myObstacle 59,0.71,0.09,-0.04,0.71,0.49,5.09,0.1,0.0,4.96,0.0,0.0,4.47,0.01,0.04 
110.040000, 1, myObstacle 59,0.71,0.09,-0.04,0.71,0.47,5.09,0.1,0.0,4.96,0.0,0.0,4.49,0.01,0.04 
110.223000, 1, myObstacle 59,0.71,0.09,-0.04,0.71,0.45,5.09,0.1,0.0,4.96,0.0,0.0,4.52,0.01,0.04 
110.476000, 1, myObstacle 59,0.71,0.09,-0.04,0.71,0.41,5.09,0.1,0.0,4.96,0.0,0.0,4.55,0.01,0.04 
117.740000, 0, Obstacle 73 ,,,,,1.5,,,,6.99,0.0,0.0,5.49,0.01,0.04 
131.663000, 0, Target target1 ,,,,,2.2,,,,9.5,0.0,0.0,7.3,0.02,0.04 
133.737000, 1, Target Reached1,,,,1.98,1.93,,,,9.5,0.0,0.0,7.57,0.02,0.04 
