original_batch,method,density,detection_ratio,Distance,Number_of_obs,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b9_s13_14,14,1.11111111111,0.8,9,10,X,V,V,V,V,V,V,X,V,V,X,O,O
b9_s12_14,14,1.11111111111,0.8,9,10,V,V,V,V,V,V,X,X,V,V,X,O,O
b10_s6_41,41,1.0,0.333333333333,9,9,X,V,V,,X,X,X,X,V,X,V,O,O
b10_s4_41,41,1.0,0.333333333333,9,9,X,X,X,V,X,,X,X,V,V,V,O,O
b10_s5_41,41,1.0,0.222222222222,9,9,X,V,X,V,X,X,X,X,,X,X,O,O
b10_s15_41,41,1.0,0.666666666667,9,9,V,X,V,X,V,X,,V,V,V,V,O,O
b10_s2_41,41,1.0,0.444444444444,9,9,X,V,V,V,,X,X,V,X,X,X,O,O
b10_s14_41,41,1.0,0.333333333333,9,9,V,X,X,X,V,X,X,X,V,,X,O,O
b10_s1_41,41,1.0,0.444444444444,9,9,,X,V,V,V,X,X,X,V,X,V,O,O
b10_s11_41,41,1.0,0.444444444444,9,9,X,X,X,,V,V,V,V,X,X,X,O,O
b10_s7_41,41,1.0,0.666666666667,9,9,V,X,V,X,V,,V,X,V,V,V,O,O
b10_s13_41,41,1.0,0.333333333333,9,9,X,X,V,X,V,X,X,X,V,,V,O,O
b10_s9_41,41,1.0,0.222222222222,9,9,X,,X,V,X,X,X,X,V,X,X,O,O
b10_s3_41,41,1.0,0.333333333333,9,9,X,V,V,X,V,X,X,,X,X,V,O,O
b10_s10_41,41,1.0,0.555555555556,9,9,V,V,V,V,,X,X,X,V,X,V,O,O
b10_s7_11,11,1.0,0.777777777778,9,9,V,X,V,V,V,,X,V,V,V,X,O,O
b10_s15_11,11,1.0,0.777777777778,9,9,V,V,V,X,V,,X,V,V,V,X,O,O
b10_s12_11,11,1.0,0.0,9,9,X,X,X,X,X,X,,X,X,X,V,O,O
b10_s13_11,11,1.0,0.555555555556,9,9,V,V,V,,V,X,X,X,X,V,X,O,O
b10_s6_11,11,1.0,0.666666666667,9,9,X,X,V,V,V,X,V,V,V,,X,O,O
b10_s8_11,11,1.0,0.888888888889,9,9,V,V,V,V,V,X,,V,V,V,X,O,O
