 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
84.770000, 0, Obstacle 17 ,,,,,1.5,,,,2.74,-0.0,0.0,1.24,0.0,0.04 
92.084000, 0, Obstacle 19 ,,,,,1.5,,,,3.69,-0.0,0.0,2.19,0.01,0.04 
92.814000, 1, myObstacle 70,0.66,0.1,-0.04,0.67,7.71,2.88,0.1,0.0,10.0,-0.0,0.0,2.29,0.01,0.04 
93.090000, 1, myObstacle 70,0.66,0.1,-0.04,0.67,7.68,2.88,0.1,0.0,10.0,-0.0,0.0,2.32,0.01,0.04 
93.328000, 1, myObstacle 70,0.66,0.1,-0.04,0.67,7.65,2.88,0.1,0.0,10.0,-0.0,0.0,2.35,0.01,0.04 
93.557000, 1, myObstacle 70,0.66,0.1,-0.04,0.67,7.62,2.88,0.1,0.0,10.0,-0.0,0.0,2.38,0.01,0.04 
93.785000, 1, myObstacle 70,0.66,0.1,-0.04,0.67,7.59,2.88,0.1,0.0,10.0,-0.0,0.0,2.41,0.01,0.04 
99.494000, 1, myObstacle 19,0.7,0.09,-0.04,0.71,0.54,3.79,0.1,0.0,3.69,-0.0,0.0,3.15,0.01,0.04 
99.710000, 1, myObstacle 19,0.7,0.09,-0.04,0.71,0.51,3.81,0.1,0.0,3.69,-0.0,0.0,3.18,0.01,0.04 
100.040000, 1, myObstacle 19,0.7,0.09,-0.04,0.71,0.47,3.81,0.1,0.0,3.69,-0.0,0.0,3.23,0.01,0.04 
100.284000, 1, myObstacle 70,0.67,0.09,-0.04,0.68,6.74,3.83,0.1,0.0,10.0,-0.0,0.0,3.26,0.01,0.04 
100.367000, 1, myObstacle 19,0.7,0.09,-0.04,0.71,0.42,3.81,0.1,0.0,3.69,-0.0,0.0,3.27,0.01,0.04 
100.667000, 1, myObstacle 70,0.67,0.09,-0.04,0.68,6.69,3.83,0.1,0.0,10.0,-0.0,0.0,3.31,0.01,0.04 
100.877000, 1, myObstacle 70,0.67,0.09,-0.04,0.68,6.67,3.83,0.1,0.0,10.0,-0.0,0.0,3.33,0.01,0.04 
101.701000, 0, Obstacle 73 ,,,,,1.5,,,,4.94,-0.0,0.0,3.44,0.01,0.04 
105.009000, 0, Obstacle 18 ,,,,,1.5,,,,5.37,0.0,0.0,3.87,0.01,0.04 
108.015000, 0, Obstacle 59 ,,,,,1.5,,,,5.76,-0.0,0.0,4.26,0.01,0.04 
109.464000, 1, myObstacle 73,0.68,0.09,-0.04,0.69,0.49,5.07,0.1,0.0,4.94,-0.0,0.0,4.45,0.01,0.04 
109.653000, 1, myObstacle 59,1.46,0.08,-0.04,1.46,1.29,5.86,0.1,0.0,5.76,-0.0,0.0,4.47,0.01,0.04 
109.718000, 1, myObstacle 73,0.68,0.09,-0.04,0.69,0.46,5.07,0.1,0.0,4.94,-0.0,0.0,4.48,0.01,0.04 
109.939000, 1, myObstacle 52,0.64,0.09,-0.04,0.65,1.92,5.1,0.1,0.0,6.43,0.0,0.0,4.51,0.01,0.04 
110.067000, 1, myObstacle 59,1.4,0.08,-0.04,1.46,1.23,5.88,0.1,0.0,5.76,-0.0,0.0,4.53,0.01,0.04 
110.132000, 1, myObstacle 73,0.68,0.09,-0.04,0.69,0.41,5.07,0.1,0.0,4.94,-0.0,0.0,4.54,0.01,0.04 
110.235000, 1, myObstacle 52,0.64,0.09,-0.04,0.65,1.88,5.1,0.1,0.0,6.43,0.0,0.0,4.55,0.01,0.04 
110.359000, 1, myObstacle 59,1.4,0.08,-0.04,1.4,1.2,5.86,0.1,0.0,5.76,-0.0,0.0,4.57,0.01,0.04 
110.534000, 1, myObstacle 52,0.64,0.09,-0.04,0.65,1.84,5.1,0.1,0.0,6.43,0.0,0.0,4.59,0.01,0.04 
110.658000, 1, myObstacle 59,1.4,0.08,-0.04,1.4,1.16,5.86,0.1,0.0,5.76,-0.0,0.0,4.6,0.01,0.04 
110.712000, 1, myObstacle 18,0.97,0.08,-0.04,0.97,0.76,5.49,0.1,0.0,5.37,0.0,0.0,4.61,0.01,0.04 
110.954000, 1, myObstacle 59,1.4,0.08,-0.04,1.4,1.12,5.86,0.1,0.0,5.76,-0.0,0.0,4.64,0.01,0.04 
111.020000, 1, myObstacle 18,0.97,0.08,-0.04,0.97,0.72,5.49,0.1,0.0,5.37,0.0,0.0,4.65,0.01,0.04 
111.303000, 1, myObstacle 18,0.97,0.08,-0.04,0.97,0.68,5.49,0.1,0.0,5.37,0.0,0.0,4.69,0.01,0.04 
111.512000, 1, myObstacle 18,0.97,0.08,-0.04,0.97,0.66,5.49,0.1,0.0,5.37,0.0,0.0,4.72,0.01,0.04 
113.177000, 0, Obstacle 52 ,,,,,1.5,,,,6.43,0.0,0.0,4.93,0.02,0.04 
116.954000, 1, myObstacle 52,1.17,0.08,-0.03,1.17,1.01,6.53,0.1,0.01,6.43,0.0,0.0,5.42,0.02,0.04 
117.210000, 1, myObstacle 52,1.17,0.08,-0.03,1.17,0.98,6.53,0.1,0.01,6.43,0.0,0.0,5.46,0.02,0.04 
117.477000, 1, myObstacle 52,1.11,0.08,-0.04,1.17,0.94,6.55,0.1,0.0,6.43,0.0,0.0,5.49,0.02,0.04 
117.747000, 1, myObstacle 52,1.11,0.08,-0.04,1.11,0.91,6.55,0.1,0.0,6.43,0.0,0.0,5.52,0.02,0.04 
117.937000, 1, myObstacle 52,1.04,0.08,-0.03,1.11,0.88,6.54,0.1,0.0,6.43,0.0,0.0,5.55,0.02,0.04 
118.042000, 1, myObstacle 52,1.04,0.08,-0.03,1.04,0.87,6.55,0.1,0.0,6.43,0.0,0.0,5.56,0.02,0.04 
118.229000, 1, myObstacle 52,1.04,0.08,-0.03,1.04,0.84,6.55,0.1,0.0,6.43,0.0,0.0,5.59,0.02,0.04 
118.409000, 1, myObstacle 52,1.04,0.08,-0.03,1.04,0.82,6.55,0.1,0.0,6.43,0.0,0.0,5.61,0.02,0.04 
118.654000, 1, myObstacle 52,1.04,0.08,-0.03,1.04,0.79,6.55,0.1,0.0,6.43,0.0,0.0,5.64,0.02,0.04 
118.886000, 1, myObstacle 52,0.94,0.08,-0.04,0.94,0.76,6.55,0.1,0.0,6.43,0.0,0.0,5.67,0.02,0.04 
119.097000, 1, myObstacle 52,0.94,0.08,-0.04,0.94,0.73,6.56,0.1,0.0,6.43,0.0,0.0,5.7,0.02,0.04 
119.270000, 1, myObstacle 52,0.94,0.08,-0.04,0.94,0.71,6.56,0.1,0.0,6.43,0.0,0.0,5.72,0.02,0.04 
119.514000, 1, myObstacle 52,0.94,0.08,-0.04,0.94,0.68,6.56,0.1,0.0,6.43,0.0,0.0,5.75,0.02,0.04 
119.674000, 1, myObstacle 52,0.94,0.08,-0.04,0.94,0.66,6.56,0.1,0.0,6.43,0.0,0.0,5.78,0.02,0.04 
121.027000, 0, Obstacle 21 ,,,,,1.5,,,,7.45,0.0,0.0,5.95,0.02,0.04 
125.269000, 0, Obstacle 20 ,,,,,1.5,,,,8.0,-0.0,0.0,6.5,0.02,0.04 
127.155000, 1, myObstacle 52,1.45,0.07,-0.03,1.45,0.32,8.12,0.1,0.0,6.43,0.0,0.0,6.75,0.02,0.04 
127.242000, 1, myObstacle 21,0.91,0.08,-0.04,0.91,0.69,7.57,0.1,0.0,7.45,0.0,0.0,6.76,0.02,0.04 
127.478000, 1, myObstacle 52,1.45,0.07,-0.03,1.45,0.36,8.12,0.1,0.0,6.43,0.0,0.0,6.79,0.02,0.04 
127.576000, 1, myObstacle 21,0.83,0.08,-0.04,0.91,0.65,7.57,0.1,0.0,7.45,0.0,0.0,6.8,0.02,0.04 
127.742000, 1, myObstacle 52,1.35,0.07,-0.03,1.35,0.4,8.12,0.1,0.0,6.43,0.0,0.0,6.82,0.02,0.04 
127.858000, 1, myObstacle 21,0.83,0.08,-0.04,0.83,0.61,7.56,0.1,0.0,7.45,0.0,0.0,6.84,0.02,0.04 
128.009000, 1, myObstacle 52,1.35,0.07,-0.03,1.35,0.43,8.11,0.1,0.0,6.43,0.0,0.0,6.86,0.02,0.04 
128.115000, 1, myObstacle 21,0.83,0.08,-0.04,0.83,0.58,7.56,0.1,0.0,7.45,0.0,0.0,6.87,0.02,0.04 
128.329000, 1, myObstacle 52,1.35,0.07,-0.03,1.35,0.47,8.11,0.1,0.0,6.43,0.0,0.0,6.9,0.02,0.04 
128.391000, 1, myObstacle 21,0.83,0.08,-0.04,0.83,0.54,7.56,0.1,0.0,7.45,0.0,0.0,6.91,0.02,0.04 
128.586000, 1, myObstacle 52,1.35,0.07,-0.03,1.35,0.5,8.11,0.1,0.0,6.43,0.0,0.0,6.93,0.02,0.04 
133.046000, 1, myObstacle 20,0.68,0.07,-0.04,0.69,0.49,8.13,0.1,0.0,8.0,-0.0,0.0,7.51,0.03,0.04 
133.285000, 1, myObstacle 20,0.68,0.07,-0.04,0.69,0.46,8.13,0.1,0.0,8.0,-0.0,0.0,7.54,0.03,0.04 
133.486000, 1, myObstacle 20,0.68,0.07,-0.04,0.69,0.43,8.13,0.1,0.0,8.0,-0.0,0.0,7.57,0.03,0.04 
133.668000, 1, myObstacle 20,0.68,0.07,-0.04,0.69,0.41,8.13,0.1,0.0,8.0,-0.0,0.0,7.59,0.03,0.04 
133.725000, 0, Obstacle 16 ,,,,,1.5,,,,9.1,0.0,0.0,7.6,0.03,0.04 
133.895000, 1, myObstacle 20,0.68,0.07,-0.04,0.69,0.38,8.13,0.1,0.0,8.0,-0.0,0.0,7.62,0.03,0.04 
135.604000, 1, myObstacle 52,1.45,0.07,-0.03,1.45,1.42,9.23,0.11,0.0,6.43,0.0,0.0,7.85,0.03,0.04 
135.917000, 1, myObstacle 52,1.45,0.07,-0.03,1.45,1.46,9.22,0.1,0.0,6.43,0.0,0.0,7.89,0.03,0.04 
136.093000, 1, myObstacle 52,1.45,0.07,-0.03,1.45,1.48,9.22,0.1,0.0,6.43,0.0,0.0,7.91,0.03,0.04 
136.256000, 1, myObstacle 52,1.45,0.07,-0.03,1.45,1.5,9.22,0.1,0.0,6.43,0.0,0.0,7.93,0.03,0.04 
136.475000, 1, myObstacle 52,1.45,0.07,-0.03,1.45,1.53,9.22,0.1,0.0,6.43,0.0,0.0,7.96,0.03,0.04 
140.652000, 0, Obstacle 70 ,,,,,1.5,,,,10.0,-0.0,0.0,8.5,0.03,0.04 
141.321000, 1, myObstacle 16,0.69,0.06,-0.04,0.7,0.52,9.22,0.1,0.0,9.1,0.0,0.0,8.59,0.03,0.04 
