 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
55.720000, 0, Obstacle 20 ,,,,,1.33,,,,1.33,0.0,0.0,-0.0,0.0,0.04 
79.125000, 1, myObstacle 20,1.16,0.1,-0.04,1.16,0.97,1.43,0.1,0.0,1.33,-0.0,0.0,0.37,0.0,0.04 
79.391000, 1, myObstacle 20,1.16,0.1,-0.04,1.16,0.93,1.43,0.1,0.0,1.33,-0.0,0.0,0.4,0.0,0.04 
79.536000, 1, myObstacle 20,1.08,0.1,-0.04,1.08,0.91,1.43,0.1,0.0,1.33,-0.0,0.0,0.42,0.0,0.04 
79.692000, 1, myObstacle 20,1.08,0.1,-0.04,1.08,0.89,1.43,0.1,0.0,1.33,-0.0,0.0,0.44,0.0,0.04 
80.021000, 1, myObstacle 20,1.08,0.1,-0.04,1.08,0.85,1.43,0.1,0.0,1.33,-0.0,0.0,0.48,0.0,0.04 
80.182000, 1, myObstacle 20,1.08,0.1,-0.04,1.08,0.83,1.43,0.1,0.0,1.33,-0.0,0.0,0.5,0.0,0.04 
80.481000, 1, myObstacle 20,1.08,0.1,-0.04,1.08,0.79,1.43,0.1,0.0,1.33,-0.0,0.0,0.54,0.0,0.04 
82.333000, 0, Obstacle 59 ,,,,,1.5,,,,2.28,0.0,0.0,0.78,0.0,0.04 
85.192000, 0, Obstacle 19 ,,,,,1.5,,,,2.65,0.0,0.0,1.15,0.0,0.04 
88.134000, 1, myObstacle 59,0.93,0.09,-0.04,0.94,0.75,2.39,0.1,0.0,2.28,0.0,0.0,1.53,0.0,0.04 
88.401000, 1, myObstacle 59,0.93,0.09,-0.04,0.94,0.71,2.38,0.11,0.0,2.28,0.0,0.0,1.57,0.0,0.04 
88.578000, 1, myObstacle 59,0.93,0.09,-0.04,0.94,0.69,2.38,0.11,0.0,2.28,0.0,0.0,1.59,0.0,0.04 
88.692000, 1, myObstacle 59,0.93,0.09,-0.04,0.94,0.67,2.38,0.11,0.0,2.28,0.0,0.0,1.61,0.0,0.04 
88.803000, 1, myObstacle 59,0.93,0.09,-0.04,0.94,0.66,2.38,0.11,0.0,2.28,0.0,0.0,1.62,0.0,0.04 
88.812000, 0, Obstacle 16 ,,,,,1.5,,,,3.12,0.0,0.0,1.62,0.0,0.04 
88.950000, 1, myObstacle 59,0.8,0.09,-0.03,0.81,0.64,2.38,0.1,0.0,2.28,0.0,0.0,1.64,0.0,0.04 
89.230000, 1, myObstacle 59,0.8,0.09,-0.03,0.81,0.61,2.38,0.1,0.0,2.28,0.0,0.0,1.67,0.01,0.04 
89.540000, 1, myObstacle 59,0.8,0.09,-0.03,0.81,0.57,2.38,0.1,0.0,2.28,0.0,0.0,1.72,0.01,0.04 
