 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
78.914000, 0, Obstacle 59 ,,,,,1.5,,,,1.85,0.0,0.0,0.35,0.0,0.04 
83.286000, 1, myObstacle 59,1.14,0.11,-0.04,1.15,0.93,1.96,0.1,0.0,1.85,0.0,0.0,0.92,0.0,0.04 
83.580000, 1, myObstacle 59,1.07,0.11,-0.04,1.15,0.9,1.97,0.1,0.0,1.85,0.0,0.0,0.96,0.0,0.04 
83.887000, 1, myObstacle 59,1.07,0.11,-0.04,1.08,0.85,1.97,0.11,0.0,1.85,0.0,0.0,1.0,0.0,0.04 
84.148000, 1, myObstacle 59,1.0,0.1,-0.04,1.0,0.82,1.96,0.1,0.0,1.85,0.0,0.0,1.03,-0.0,0.04 
84.403000, 1, myObstacle 59,1.0,0.1,-0.04,1.0,0.79,1.96,0.1,0.0,1.85,0.0,0.0,1.06,-0.0,0.04 
84.780000, 1, myObstacle 59,0.94,0.11,-0.04,0.95,0.74,1.96,0.11,0.0,1.85,0.0,0.0,1.11,-0.0,0.04 
85.076000, 1, myObstacle 59,0.87,0.11,-0.04,0.95,0.7,1.97,0.1,0.0,1.85,0.0,0.0,1.15,-0.0,0.04 
85.345000, 1, myObstacle 59,0.87,0.11,-0.04,0.88,0.67,1.96,0.1,0.0,1.85,0.0,0.0,1.18,-0.0,0.04 
85.516000, 1, myObstacle 59,0.87,0.11,-0.04,0.88,0.64,1.96,0.1,0.0,1.85,0.0,0.0,1.21,-0.0,0.04 
85.767000, 1, myObstacle 59,0.8,0.1,-0.04,0.81,0.61,1.96,0.1,0.0,1.85,0.0,0.0,1.24,-0.0,0.04 
86.107000, 1, myObstacle 59,0.8,0.1,-0.04,0.81,0.57,1.95,0.1,0.0,1.85,0.0,0.0,1.28,-0.0,0.04 
86.453000, 1, myObstacle 59,0.72,0.1,-0.04,0.73,0.52,1.97,0.1,0.0,1.85,0.0,0.0,1.33,-0.0,0.04 
86.627000, 1, myObstacle 59,0.72,0.1,-0.04,0.73,0.5,1.98,0.1,0.0,1.85,0.0,0.0,1.35,-0.0,0.04 
86.809000, 1, myObstacle 59,0.72,0.1,-0.04,0.73,0.48,1.98,0.1,0.0,1.85,0.0,0.0,1.38,-0.0,0.04 
87.170000, 1, myObstacle 59,0.72,0.1,-0.04,0.73,0.43,1.98,0.1,0.0,1.85,0.0,0.0,1.42,-0.0,0.04 
87.764000, 0, Obstacle 73 ,,,,,1.5,,,,3.0,0.0,0.0,1.5,-0.0,0.04 
110.173000, 0, Obstacle 52 ,,,,,1.5,,,,5.91,0.0,0.0,4.41,-0.0,0.04 
117.972000, 1, myObstacle 52,0.7,0.1,-0.04,0.7,0.49,6.04,0.1,0.0,5.91,0.0,0.0,5.42,-0.0,0.04 
118.216000, 1, myObstacle 52,0.7,0.1,-0.04,0.7,0.45,6.04,0.1,0.0,5.91,0.0,0.0,5.46,-0.0,0.04 
118.509000, 1, myObstacle 52,0.7,0.1,-0.04,0.7,0.42,6.04,0.1,0.0,5.91,0.0,0.0,5.49,-0.0,0.04 
132.054000, 1, Target Reached1,,,,1.21,2.25,,,,9.5,0.0,0.0,7.25,0.0,0.04 
